Name,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV18291,Fungi,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,roseus
ASV18292,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Unidentified_Didymellaceae,Unidentified_Didymellaceae
ASV18293,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Cucurbitariaceae,Pyrenochaetopsis,indica
ASV18294,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Hyphopichia,burtonii
ASV18295,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Emericellopsis,glabra
ASV18296,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Unidentified_Aspergillus
ASV18297,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Phaeotremellaceae,Phaeotremella,Unidentified_Phaeotremella
ASV18298,Fungi,Ascomycota,Sordariomycetes,Unidentified_Sordariomycetes,Unidentified_Sordariomycetes,Unidentified_Sordariomycetes,Unidentified_Sordariomycetes
ASV18299,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Dactylonectria,macrodidyma
ASV18300,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Talaromyces,Unidentified_Talaromyces
ASV18301,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,Unidentified_Cladosporium
ASV18302,Fungi,Ascomycota,Sordariomycetes,Sordariales,Unidentified_Sordariales,Unidentified_Sordariales,Unidentified_Sordariales
ASV18303,Fungi,Ascomycota,Dothideomycetes,Venturiales,Venturiales_fam_Incertae_sedis,Venturiales_gen_Incertae_sedis,Unidentified_Venturiales_gen_Incertae_sedis
ASV18304,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,clavatus
ASV18305,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Stachybotryaceae,Albifimbria,verrucaria
ASV18306,Fungi,Ascomycota,Geoglossomycetes,Geoglossales,Geoglossaceae,Trichoglossum,jejuense
ASV18307,Fungi,Ascomycota,Ascomycota_cls_Incertae_sedis,Ascomycota_ord_Incertae_sedis,Ascomycota_fam_Incertae_sedis,Ascomycota_gen_Incertae_sedis,Unidentified_Ascomycota_gen_Incertae_sedis
