"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV19575","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Talaromyces",NA
"ASV19576","Fungi","Ascomycota","Leotiomycetes","Erysiphales","Erysiphaceae","Erysiphe","platani"
"ASV19577","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium",NA
"ASV19578","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales","Sporidiobolaceae","Rhodotorula",NA
"ASV19579","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","restrictus"
"ASV19580","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Saccharomyces","mikatae"
"ASV19581","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycodaceae","Hanseniaspora","pseudoguilliermondii"
"ASV19582","Fungi","Mucoromycota","Mucoromycetes","Mucorales","Mucoraceae","Mucor",NA
"ASV19583","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Cucurbitariaceae","Pyrenochaetopsis","indica"
"ASV19584","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma","pubescens"
"ASV19585","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae",NA,NA
"ASV19586","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae",NA,NA
"ASV19587","Fungi","Ascomycota",NA,NA,NA,NA,NA
"ASV19588","Fungi","Ascomycota","Sordariomycetes","Coniochaetales","Coniochaetaceae","Coniochaeta",NA
"ASV19589","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Neocosmospora","rubicola"
"ASV19590","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Neocosmospora","rubicola"
"ASV19591","Fungi","Ascomycota","Sordariomycetes","Sordariales","Podosporaceae","Podospora","intestinacea"
"ASV19592","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Cucurbitariaceae","Pyrenochaetopsis","indica"
"ASV19593","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Didymocyrtis","pini"
"ASV19594","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","halophilicus"
"ASV19595","Fungi","Ascomycota",NA,NA,NA,NA,NA
"ASV19635","Fungi","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae",NA,NA
"ASV19636","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetales_fam_Incertae_sedis","Candida","metapsilosis"
"ASV19637","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","mangiferae"
"ASV19638","Fungi","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae",NA,NA
"ASV19639","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Rhizoctonia","bicornis"
"ASV19640","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Dictyosporiaceae","Pseudoconiothyrium",NA
"ASV19641","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Issatchenkia","orientalis"
"ASV19642","Fungi","Ascomycota","Sordariomycetes","Coniochaetales","Coniochaetaceae","Coniochaeta","verticillata"
"ASV19643","Fungi","Basidiomycota","Agaricomycetes","Hymenochaetales","Hymenochaetales_fam_Incertae_sedis","Trichaptum","biforme"
"ASV19644","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Cordycipitaceae","Lecanicillium","fusisporum"
"ASV19662","Fungi","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae",NA,NA
"ASV19684","Fungi","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae",NA,NA
"ASV19685","Fungi","Basidiomycota","Malasseziomycetes","Malasseziales","Malasseziaceae","Malassezia","restricta"
"ASV19686","Fungi","Basidiomycota","Malasseziomycetes","Malasseziales","Malasseziaceae","Malassezia","restricta"
"ASV19687","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Plectosphaerella","niemeijerarum"
"ASV19688","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetales_fam_Incertae_sedis","Candida",NA
"ASV19689","Fungi","Ascomycota","Sordariomycetes","Xylariales","Diatrypaceae","Eutypella","zelkovae"
