Name,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV235,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,NA
ASV236,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,tropicalis
ASV237,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Stereum,NA
ASV238,Fungi,Basidiomycota,Agaricomycetes,Geastrales,Geastraceae,Geastrum,triplex
ASV239,Fungi,Ascomycota,Leotiomycetes,Thelebolales,Thelebolaceae,Thelebolaceae_gen_Incertae_sedis,NA
ASV240,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Hydnaceae,Sistotrema,brinkmannii
ASV241,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,tropicalis
ASV242,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Thelonectria,olida
ASV244,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Linnemannia,NA
ASV245,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaceae,Clonostachys,rosea
ASV247,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Podila,minutissima
ASV248,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Hydnaceae,Sistotrema,brinkmannii
ASV249,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,NA
ASV250,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,tropicalis
ASV251,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Stereum,complicatum
ASV252,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Stereum,complicatum
ASV254,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,NA
ASV255,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaceae,Clonostachys,NA
ASV256,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,tropicalis
ASV257,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Botryotrichum,NA
ASV258,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Hydnaceae,Sistotrema,brinkmannii
ASV259,Fungi,Ascomycota,Sordariomycetes,Microascales,Halosphaeriaceae,Halosarpheia,NA
ASV260,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,tricinctum
ASV262,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,NA
ASV263,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Hydnaceae,Sistotrema,oblongisporum
ASV264,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,terricola
ASV267,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,Mucor,racemosus
ASV268,Fungi,Ascomycota,NA,NA,NA,NA,NA
ASV271,Fungi,Basidiomycota,Tremellomycetes,Cystofilobasidiales,Mrakiaceae,Tausonia,pullulans
ASV272,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Peziza,NA
ASV273,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Tricharina,ochroleuca
ASV274,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,NA,NA
ASV275,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Tetracladium,marchalianum
ASV276,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Hydnaceae,Sistotrema,brinkmannii
ASV277,Fungi,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Botrytis,caroliniana
ASV278,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusicolla,septimanifiniscientiae
